"filename", "language", "JSON", "JavaScript", "XML", "CSS", "PHP", "YAML", "Vue", "Markdown", "comment", "blank", "total"
"/home/asmaoui/Documents/coding/Association-Management/package.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/home/asmaoui/Documents/coding/Association-Management/phpunit.xml", "XML", 0, 0, 29, 0, 0, 0, 0, 0, 2, 1, 32
"/home/asmaoui/Documents/coding/Association-Management/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 1371, 0, 0, 0, 199, 1570
"/home/asmaoui/Documents/coding/Association-Management/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/asmaoui/Documents/coding/Association-Management/public/index.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 30, 12, 56
"/home/asmaoui/Documents/coding/Association-Management/resources/assets/logo.svg", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"/home/asmaoui/Documents/coding/Association-Management/resources/css/app.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/resources/css/printing.css", "CSS", 0, 0, 0, 128, 0, 0, 0, 0, 0, 10, 138
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ActionMessage.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ActionSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ApplicationLogo.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ApplicationMark.vue", "Vue", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/AuthenticationCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/AuthenticationCardLogo.vue", "Vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Banner.vue", "Vue", 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Checkbox.vue", "Vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ConfirmationModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 50, 0, 0, 8, 58
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ConfirmsPassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 99, 0, 0, 20, 119
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/DangerButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/DialogModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Dropdown.vue", "Vue", 0, 0, 0, 0, 0, 0, 70, 0, 1, 12, 83
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/DropdownLink.vue", "Vue", 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/FormSection.vue", "Vue", 0, 0, 0, 0, 0, 0, 33, 0, 0, 6, 39
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Header.vue", "Vue", 0, 0, 0, 0, 0, 0, 276, 0, 9, 6, 291
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ImageUpload.vue", "Vue", 0, 0, 0, 0, 0, 0, 110, 0, 0, 9, 119
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/InputError.vue", "Vue", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/InputLabel.vue", "Vue", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/LanguageSwitcher.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Modal.vue", "Vue", 0, 0, 0, 0, 0, 0, 81, 0, 0, 11, 92
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/NavLink.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Navbar.vue", "Vue", 0, 0, 0, 0, 0, 0, 438, 0, 85, 8, 531
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/Pagination.vue", "Vue", 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/PrimaryButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"/home/asmaoui/Documents/coding/Association-Management/resources/js/Components/ResponsiveNavLink.vue", "Vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
